Sequence,Volt,-2.34E-04,5.00E-07
276,0.00E+00,,
277,-1.60E-01,,
278,0.00E+00,,
279,-8.00E-02,,
280,-8.00E-02,,
281,0.00E+00,,
282,0.00E+00,,
283,-1.60E-01,,
284,0.00E+00,,
285,-1.60E-01,,
286,0.00E+00,,
287,-1.60E-01,,
288,0.00E+00,,
289,-8.00E-02,,
290,0.00E+00,,
291,-1.60E-01,,
292,0.00E+00,,
293,-1.60E-01,,
294,0.00E+00,,
295,-1.60E-01,,
296,0.00E+00,,
297,-1.60E-01,,
298,0.00E+00,,
299,-8.00E-02,,
300,0.00E+00,,
301,-1.60E-01,,
302,-8.00E-02,,
303,0.00E+00,,
304,0.00E+00,,
305,-1.60E-01,,
306,0.00E+00,,
307,-1.60E-01,,
308,-8.00E-02,,
309,0.00E+00,,
310,0.00E+00,,
311,-1.60E-01,,
312,-8.00E-02,,
313,0.00E+00,,
314,0.00E+00,,
315,-1.60E-01,,
316,0.00E+00,,
317,-1.60E-01,,
318,0.00E+00,,
319,-1.60E-01,,
320,0.00E+00,,
321,-1.60E-01,,
322,0.00E+00,,
323,-1.60E-01,,
324,-8.00E-02,,
325,0.00E+00,,
326,0.00E+00,,
327,-1.60E-01,,
328,-8.00E-02,,
329,0.00E+00,,
330,0.00E+00,,
331,-8.00E-02,,
332,0.00E+00,,
333,-1.60E-01,,
334,0.00E+00,,
335,-1.60E-01,,
336,0.00E+00,,
337,-8.00E-02,,
338,0.00E+00,,
339,-1.60E-01,,
340,0.00E+00,,
341,-1.60E-01,,
342,0.00E+00,,
343,-1.60E-01,,
344,0.00E+00,,
345,-1.60E-01,,
346,0.00E+00,,
347,-1.60E-01,,
348,0.00E+00,,
349,-1.60E-01,,
350,0.00E+00,,
351,-1.60E-01,,
352,0.00E+00,,
353,-8.00E-02,,
354,0.00E+00,,
355,-1.60E-01,,
356,0.00E+00,,
357,-1.60E-01,,
358,0.00E+00,,
359,-1.60E-01,,
360,0.00E+00,,
361,-1.60E-01,,
362,0.00E+00,,
363,-1.60E-01,,
364,0.00E+00,,
365,-1.60E-01,,
366,0.00E+00,,
367,-1.60E-01,,
368,0.00E+00,,
369,-1.60E-01,,
370,0.00E+00,,
371,-1.60E-01,,
372,0.00E+00,,
373,-1.60E-01,,
374,0.00E+00,,
375,-1.60E-01,,
376,0.00E+00,,
377,-1.60E-01,,
378,0.00E+00,,
379,-1.60E-01,,
380,0.00E+00,,
381,-1.60E-01,,
382,-1.60E-01,,
383,0.00E+00,,
384,0.00E+00,,
385,-1.60E-01,,
386,0.00E+00,,
387,-1.60E-01,,
388,-8.00E-02,,
389,0.00E+00,,
390,-8.00E-02,,
391,0.00E+00,,
392,0.00E+00,,
393,-1.60E-01,,
394,0.00E+00,,
395,-8.00E-02,,
396,-8.00E-02,,
397,0.00E+00,,
398,0.00E+00,,
399,-1.60E-01,,
400,0.00E+00,,
401,-1.60E-01,,
402,0.00E+00,,
403,-1.60E-01,,
404,0.00E+00,,
405,-1.60E-01,,
406,0.00E+00,,
407,-1.60E-01,,
408,0.00E+00,,
409,-1.60E-01,,
410,-8.00E-02,,
411,0.00E+00,,
412,0.00E+00,,
413,-1.60E-01,,
414,0.00E+00,,
415,-1.60E-01,,
416,0.00E+00,,
417,-1.60E-01,,
418,0.00E+00,,
419,-1.60E-01,,
420,0.00E+00,,
421,-1.60E-01,,
422,0.00E+00,,
423,-1.60E-01,,
424,0.00E+00,,
425,-1.60E-01,,
426,0.00E+00,,
427,-1.60E-01,,
428,0.00E+00,,
429,-1.60E-01,,
430,0.00E+00,,
431,-1.60E-01,,
432,0.00E+00,,
433,-1.60E-01,,
434,0.00E+00,,
435,-1.60E-01,,
436,0.00E+00,,
437,-1.60E-01,,
438,3.20E-01,,
439,-3.20E-01,,
440,-8.00E-02,,
441,1.60E-01,,
442,8.00E-02,,
443,3.20E-01,,
444,1.60E-01,,
445,4.80E-01,,
446,3.20E-01,,
447,6.40E-01,,
448,4.80E-01,,
449,8.00E-01,,
450,6.40E-01,,
451,9.60E-01,,
452,8.00E-01,,
453,1.12E+00,,
454,1.04E+00,,
455,1.28E+00,,
456,1.20E+00,,
457,1.52E+00,,
458,1.36E+00,,
459,1.68E+00,,
460,1.60E+00,,
461,1.84E+00,,
462,1.76E+00,,
463,2.08E+00,,
464,1.92E+00,,
465,2.24E+00,,
466,2.16E+00,,
467,2.48E+00,,
468,2.40E+00,,
469,2.64E+00,,
470,2.64E+00,,
471,2.88E+00,,
472,2.80E+00,,
473,3.04E+00,,
474,2.96E+00,,
475,3.28E+00,,
476,3.20E+00,,
477,3.44E+00,,
478,3.36E+00,,
479,3.68E+00,,
480,3.52E+00,,
481,3.84E+00,,
482,3.76E+00,,
483,4.00E+00,,
484,3.92E+00,,
485,4.16E+00,,
486,4.08E+00,,
487,4.32E+00,,
488,4.24E+00,,
489,4.48E+00,,
490,4.40E+00,,
491,4.64E+00,,
492,4.56E+00,,
493,4.80E+00,,
494,4.72E+00,,
495,4.96E+00,,
496,4.88E+00,,
497,5.12E+00,,
498,5.04E+00,,
499,5.28E+00,,
500,5.12E+00,,
501,5.36E+00,,
502,5.28E+00,,
503,5.52E+00,,
504,5.44E+00,,
505,5.60E+00,,
506,5.52E+00,,
507,5.76E+00,,
508,5.60E+00,,
509,5.84E+00,,
510,5.92E+00,,
511,5.76E+00,,
512,5.92E+00,,
513,6.16E+00,,
514,6.00E+00,,
515,6.24E+00,,
516,6.08E+00,,
517,6.32E+00,,
518,6.16E+00,,
519,6.40E+00,,
520,6.24E+00,,
521,6.48E+00,,
522,6.32E+00,,
523,6.48E+00,,
524,6.56E+00,,
525,6.40E+00,,
526,6.48E+00,,
527,6.64E+00,,
528,6.48E+00,,
529,6.64E+00,,
530,6.56E+00,,
531,6.72E+00,,
532,6.56E+00,,
533,6.72E+00,,
