time_s,speed_rpm,current_A,back_emf_V,T_em_Nm,T_fan_Nm,P_fan_out_W,P_copper_W,P_eddy_W,P_hysteresis_W,P_mec_W,P_in_W,efficiency
0.00470,3064.26,0.00000,0.47475,0.000000,0.002189,0.702269,0.000000,0.003101,0.002712,2.219235,0.000000,0.0000
0.00480,3200.45,15.24756,0.46053,0.021883,0.002059,0.690202,564.291704,0.003383,0.002833,2.251458,45.742670,0.0151
0.00490,3104.33,0.00000,0.48099,0.000000,0.002247,0.730306,0.000000,0.003183,0.002747,2.276566,0.000000,0.0000
0.00500,3238.54,15.21140,0.46655,0.021831,0.002114,0.716804,561.618444,0.003464,0.002866,2.306721,45.634191,0.0157
0.00510,3141.04,0.00000,0.48672,0.000000,0.002300,0.756638,0.000000,0.003258,0.002780,2.329731,0.000000,0.0000
0.00520,3273.44,15.17827,0.47207,0.021783,0.002164,0.741764,559.175113,0.003539,0.002897,2.357929,45.534817,0.0163
0.00530,3174.65,0.00000,0.49196,0.000000,0.002350,0.781304,0.000000,0.003328,0.002810,2.378960,0.000000,0.0000
0.00540,3305.38,15.14794,0.47712,0.021740,0.002210,0.765121,556.942313,0.003608,0.002925,2.405312,45.443815,0.0168
0.00550,3205.42,0.00000,0.49677,0.000000,0.002396,0.804351,0.000000,0.003393,0.002837,2.424480,0.000000,0.0000
0.00560,3334.63,15.12017,0.48174,0.021700,0.002254,0.786927,554.902220,0.003672,0.002951,2.449097,45.360508,0.0173
0.00570,3233.59,0.00000,0.50116,0.000000,0.002439,0.825838,0.000000,0.003453,0.002862,2.466521,0.000000,0.0000
0.00580,3361.38,15.09476,0.48597,0.021663,0.002293,0.807241,553.038462,0.003732,0.002975,2.489512,45.284267,0.0178
0.00590,3259.35,0.00000,0.50518,0.000000,0.002478,0.845832,0.000000,0.003508,0.002885,2.505303,0.000000,0.0000
0.00600,3385.86,15.07150,0.48985,0.021630,0.002330,0.826130,551.336014,0.003786,0.002997,2.526776,45.214513,0.0183
0.00610,3282.92,0.00000,0.50886,0.000000,0.002514,0.864401,0.000000,0.003559,0.002906,2.541044,0.000000,0.0000
0.00620,3408.25,15.05024,0.49339,0.021600,0.002364,0.843663,549.781094,0.003836,0.003016,2.561101,45.150709,0.0187
0.00630,3304.48,0.00000,0.51222,0.000000,0.002548,0.881620,0.000000,0.003606,0.002925,2.573952,0.000000,0.0000
0.00640,3428.72,15.03079,0.49663,0.021572,0.002395,0.859911,548.361067,0.003883,0.003035,2.592691,45.092362,0.0191
0.00650,3324.18,0.00000,0.51530,0.000000,0.002578,0.897563,0.000000,0.003649,0.002942,2.604226,0.000000,0.0000
0.00660,3447.43,15.01301,0.49959,0.021546,0.002424,0.874947,547.064356,0.003925,0.003051,2.621742,45.039015,0.0194
