Sequence,Volt,Volt,-3.00E-02,5.00E-05
159,5.60E-01,2.40E+00,,
160,4.00E-01,3.20E+00,,
161,6.40E-01,4.80E+00,,
162,4.80E-01,4.00E+00,,
163,7.20E-01,5.60E+00,,
164,6.40E-01,4.80E+00,,
165,8.00E-01,6.40E+00,,
166,7.20E-01,4.80E+00,,
167,8.80E-01,7.20E+00,,
168,7.20E-01,5.60E+00,,
169,9.60E-01,8.00E+00,,
170,8.00E-01,6.40E+00,,
171,1.04E+00,8.80E+00,,
172,8.80E-01,8.80E+00,,
173,1.12E+00,7.20E+00,,
174,9.60E-01,8.00E+00,,
175,1.20E+00,9.60E+00,,
176,1.04E+00,8.80E+00,,
177,1.28E+00,1.04E+01,,
178,1.12E+00,9.60E+00,,
179,1.28E+00,1.12E+01,,
180,1.12E+00,9.60E+00,,
181,1.36E+00,1.20E+01,,
182,1.20E+00,1.20E+01,,
183,1.44E+00,1.04E+01,,
184,1.28E+00,1.12E+01,,
185,1.52E+00,1.28E+01,,
186,1.52E+00,1.20E+01,,
187,1.36E+00,1.36E+01,,
188,1.44E+00,1.28E+01,,
189,1.60E+00,1.44E+01,,
190,1.44E+00,1.44E+01,,
191,1.68E+00,1.28E+01,,
192,1.52E+00,1.36E+01,,
193,1.76E+00,1.52E+01,,
194,1.76E+00,1.36E+01,,
195,1.60E+00,1.60E+01,,
196,1.60E+00,1.60E+01,,
197,1.84E+00,1.44E+01,,
198,1.84E+00,1.52E+01,,
199,1.68E+00,1.68E+01,,
200,1.68E+00,1.60E+01,,
201,1.92E+00,1.68E+01,,
202,1.92E+00,1.60E+01,,
203,1.76E+00,1.76E+01,,
204,1.76E+00,1.76E+01,,
205,2.00E+00,1.60E+01,,
206,1.84E+00,1.76E+01,,
207,2.00E+00,1.76E+01,,
208,2.00E+00,1.76E+01,,
209,1.84E+00,1.92E+01,,
210,1.84E+00,1.92E+01,,
211,2.08E+00,1.68E+01,,
212,1.92E+00,1.76E+01,,
213,2.08E+00,1.92E+01,,
214,1.92E+00,1.84E+01,,
215,2.08E+00,1.92E+01,,
216,2.08E+00,1.84E+01,,
217,1.92E+00,2.00E+01,,
218,1.92E+00,1.84E+01,,
219,2.16E+00,2.00E+01,,
220,2.16E+00,1.84E+01,,
221,1.92E+00,2.00E+01,,
222,2.08E+00,1.92E+01,,
223,2.16E+00,2.00E+01,,
224,2.16E+00,1.92E+01,,
225,2.08E+00,2.00E+01,,
226,2.16E+00,1.92E+01,,
227,2.00E+00,2.08E+01,,
228,2.00E+00,1.92E+01,,
229,2.24E+00,2.08E+01,,
230,2.24E+00,2.08E+01,,
231,2.00E+00,1.92E+01,,
232,2.24E+00,2.00E+01,,
233,2.16E+00,2.08E+01,,
234,2.24E+00,2.00E+01,,
235,2.08E+00,2.16E+01,,
236,2.08E+00,2.00E+01,,
237,2.32E+00,2.16E+01,,
238,2.32E+00,2.00E+01,,
239,2.08E+00,2.16E+01,,
240,2.16E+00,2.08E+01,,
241,2.40E+00,2.24E+01,,
242,2.16E+00,2.08E+01,,
243,2.32E+00,2.24E+01,,
244,2.32E+00,2.08E+01,,
245,2.16E+00,2.16E+01,,
246,2.32E+00,2.08E+01,,
247,2.08E+00,2.16E+01,,
248,2.32E+00,2.16E+01,,
249,2.08E+00,2.00E+01,,
250,2.08E+00,2.00E+01,,
251,2.32E+00,2.16E+01,,
252,2.24E+00,2.00E+01,,
253,2.08E+00,2.08E+01,,
254,2.08E+00,2.00E+01,,
255,2.24E+00,2.08E+01,,
256,2.24E+00,2.08E+01,,
257,2.00E+00,1.92E+01,,
258,2.24E+00,1.92E+01,,
259,2.00E+00,2.08E+01,,
260,2.00E+00,1.92E+01,,
261,2.16E+00,2.08E+01,,
262,2.00E+00,1.92E+01,,
263,2.16E+00,2.00E+01,,
264,2.08E+00,2.00E+01,,
265,2.16E+00,1.84E+01,,
266,2.16E+00,1.84E+01,,
267,1.92E+00,2.00E+01,,
268,1.92E+00,1.84E+01,,
269,2.16E+00,2.00E+01,,
270,2.08E+00,1.84E+01,,
271,1.92E+00,1.92E+01,,
272,2.08E+00,1.92E+01,,
273,2.00E+00,1.76E+01,,
274,2.08E+00,1.92E+01,,
275,1.84E+00,1.68E+01,,
276,1.84E+00,1.84E+01,,
277,2.00E+00,1.76E+01,,
278,2.00E+00,1.76E+01,,
279,1.76E+00,1.68E+01,,
280,1.76E+00,1.76E+01,,
281,2.00E+00,1.60E+01,,
282,1.92E+00,1.68E+01,,
283,1.68E+00,1.52E+01,,
284,1.84E+00,1.68E+01,,
285,1.68E+00,1.52E+01,,
286,1.84E+00,1.60E+01,,
287,1.60E+00,1.44E+01,,
288,1.76E+00,1.52E+01,,
