Sequence,Volt,-1.76E-04,1.00E-06
0,0.00E+00,,
1,-1.20E-01,,
2,0.00E+00,,
3,-1.20E-01,,
4,0.00E+00,,
5,-1.20E-01,,
6,-8.00E-02,,
7,4.00E-02,,
8,0.00E+00,,
9,-1.20E-01,,
10,0.00E+00,,
11,-1.20E-01,,
12,0.00E+00,,
13,-1.20E-01,,
14,0.00E+00,,
15,-1.20E-01,,
16,0.00E+00,,
17,-1.20E-01,,
18,0.00E+00,,
19,-1.20E-01,,
20,0.00E+00,,
21,-1.20E-01,,
22,0.00E+00,,
23,-1.20E-01,,
24,0.00E+00,,
25,-1.20E-01,,
26,0.00E+00,,
27,-1.20E-01,,
28,0.00E+00,,
29,-1.20E-01,,
30,0.00E+00,,
31,-8.00E-02,,
32,-8.00E-02,,
33,0.00E+00,,
34,-8.00E-02,,
35,0.00E+00,,
36,0.00E+00,,
37,-1.20E-01,,
38,-1.20E-01,,
39,4.00E-02,,
40,0.00E+00,,
41,-1.20E-01,,
42,0.00E+00,,
43,-1.20E-01,,
44,0.00E+00,,
45,-1.20E-01,,
46,0.00E+00,,
47,-1.20E-01,,
48,0.00E+00,,
49,-1.20E-01,,
50,0.00E+00,,
51,-1.20E-01,,
52,0.00E+00,,
53,-1.20E-01,,
54,0.00E+00,,
55,-1.20E-01,,
56,0.00E+00,,
57,-1.20E-01,,
58,-8.00E-02,,
59,0.00E+00,,
60,-8.00E-02,,
61,0.00E+00,,
62,0.00E+00,,
63,-1.20E-01,,
64,0.00E+00,,
65,-1.20E-01,,
66,0.00E+00,,
67,-1.20E-01,,
68,0.00E+00,,
69,-1.20E-01,,
70,0.00E+00,,
71,-1.20E-01,,
72,0.00E+00,,
73,-8.00E-02,,
74,0.00E+00,,
75,-1.20E-01,,
76,0.00E+00,,
77,-1.20E-01,,
78,0.00E+00,,
79,-1.20E-01,,
80,0.00E+00,,
81,-1.20E-01,,
82,0.00E+00,,
83,-1.20E-01,,
84,0.00E+00,,
85,-1.20E-01,,
86,-8.00E-02,,
87,0.00E+00,,
88,0.00E+00,,
89,-1.20E-01,,
90,0.00E+00,,
91,-1.20E-01,,
92,0.00E+00,,
93,-1.20E-01,,
94,0.00E+00,,
95,-1.20E-01,,
96,0.00E+00,,
97,-1.20E-01,,
98,0.00E+00,,
99,-1.20E-01,,
100,0.00E+00,,
101,-1.20E-01,,
102,0.00E+00,,
103,-1.20E-01,,
104,0.00E+00,,
105,-1.20E-01,,
106,-8.00E-02,,
107,0.00E+00,,
108,0.00E+00,,
109,-1.20E-01,,
110,0.00E+00,,
111,-1.20E-01,,
112,0.00E+00,,
113,-1.20E-01,,
114,0.00E+00,,
115,-1.20E-01,,
116,0.00E+00,,
117,-1.20E-01,,
118,0.00E+00,,
119,-1.20E-01,,
120,0.00E+00,,
121,-1.20E-01,,
122,0.00E+00,,
123,-1.20E-01,,
124,0.00E+00,,
125,-1.20E-01,,
126,-1.20E-01,,
127,0.00E+00,,
128,0.00E+00,,
129,-1.20E-01,,
130,0.00E+00,,
131,-1.20E-01,,
132,0.00E+00,,
133,-1.20E-01,,
134,0.00E+00,,
135,-1.20E-01,,
136,-1.20E-01,,
137,0.00E+00,,
138,0.00E+00,,
139,-1.20E-01,,
140,0.00E+00,,
141,-1.20E-01,,
142,0.00E+00,,
143,-1.20E-01,,
144,-8.00E-02,,
145,0.00E+00,,
146,0.00E+00,,
147,-1.20E-01,,
148,0.00E+00,,
149,-1.20E-01,,
150,0.00E+00,,
151,-1.20E-01,,
152,-1.20E-01,,
153,0.00E+00,,
154,0.00E+00,,
155,-1.20E-01,,
156,0.00E+00,,
157,-1.20E-01,,
158,-1.20E-01,,
159,0.00E+00,,
160,0.00E+00,,
161,-1.20E-01,,
162,0.00E+00,,
163,-1.20E-01,,
164,0.00E+00,,
165,-1.20E-01,,
166,-1.20E-01,,
167,4.80E-01,,
168,4.00E-01,,
169,1.16E+00,,
170,1.12E+00,,
171,1.72E+00,,
172,1.64E+00,,
173,2.16E+00,,
174,2.12E+00,,
175,2.56E+00,,
176,2.52E+00,,
177,2.92E+00,,
178,2.84E+00,,
179,3.20E+00,,
180,3.12E+00,,
181,3.44E+00,,
182,3.36E+00,,
183,3.64E+00,,
184,3.60E+00,,
185,3.84E+00,,
186,3.76E+00,,
187,4.00E+00,,
188,3.92E+00,,
189,4.12E+00,,
190,4.08E+00,,
191,4.32E+00,,
192,4.24E+00,,
193,4.40E+00,,
194,4.32E+00,,
195,4.48E+00,,
196,4.44E+00,,
197,4.60E+00,,
198,4.52E+00,,
199,4.64E+00,,
200,4.56E+00,,
201,4.72E+00,,
202,4.64E+00,,
203,4.76E+00,,
204,4.68E+00,,
205,4.84E+00,,
206,4.76E+00,,
207,4.88E+00,,
208,4.80E+00,,
209,4.92E+00,,
210,4.80E+00,,
211,4.96E+00,,
212,4.84E+00,,
213,4.96E+00,,
214,4.88E+00,,
215,5.00E+00,,
216,4.92E+00,,
217,5.00E+00,,
218,4.92E+00,,
219,5.04E+00,,
220,5.04E+00,,
221,4.96E+00,,
222,4.96E+00,,
223,5.08E+00,,
224,5.08E+00,,
225,4.96E+00,,
226,5.08E+00,,
227,5.00E+00,,
228,5.00E+00,,
229,5.12E+00,,
230,5.00E+00,,
231,5.12E+00,,
232,5.12E+00,,
233,5.00E+00,,
234,5.12E+00,,
235,5.00E+00,,
236,5.04E+00,,
237,5.12E+00,,
238,5.04E+00,,
239,5.12E+00,,
240,5.12E+00,,
241,5.04E+00,,
242,5.04E+00,,
243,5.16E+00,,
244,5.04E+00,,
245,5.16E+00,,
246,5.16E+00,,
247,5.04E+00,,
248,5.16E+00,,
249,5.04E+00,,
250,5.16E+00,,
251,5.08E+00,,
252,5.16E+00,,
253,5.08E+00,,
254,5.08E+00,,
255,5.16E+00,,
256,5.16E+00,,
257,5.08E+00,,
258,5.16E+00,,
259,5.08E+00,,
260,5.08E+00,,
261,5.20E+00,,
262,5.08E+00,,
263,5.16E+00,,
264,5.08E+00,,
