Sequence,Volt,-1.61E-05,5.00E-08
0,-8.00E-02,,
1,0.00E+00,,
2,-8.00E-02,,
3,0.00E+00,,
4,0.00E+00,,
5,-1.20E-01,,
6,-8.00E-02,,
7,0.00E+00,,
8,0.00E+00,,
9,-8.00E-02,,
10,-8.00E-02,,
11,0.00E+00,,
12,0.00E+00,,
13,-8.00E-02,,
14,-1.20E-01,,
15,0.00E+00,,
16,-8.00E-02,,
17,0.00E+00,,
18,0.00E+00,,
19,-8.00E-02,,
20,-8.00E-02,,
21,0.00E+00,,
22,-8.00E-02,,
23,0.00E+00,,
24,0.00E+00,,
25,-8.00E-02,,
26,0.00E+00,,
27,-1.20E-01,,
28,0.00E+00,,
29,-1.20E-01,,
30,0.00E+00,,
31,-8.00E-02,,
32,-8.00E-02,,
33,0.00E+00,,
34,-8.00E-02,,
35,0.00E+00,,
36,-8.00E-02,,
37,0.00E+00,,
38,0.00E+00,,
39,-8.00E-02,,
40,-8.00E-02,,
41,0.00E+00,,
42,0.00E+00,,
43,-8.00E-02,,
44,-8.00E-02,,
45,0.00E+00,,
46,-8.00E-02,,
47,0.00E+00,,
48,-8.00E-02,,
49,0.00E+00,,
50,-8.00E-02,,
51,0.00E+00,,
52,-8.00E-02,,
53,0.00E+00,,
54,0.00E+00,,
55,-8.00E-02,,
56,-8.00E-02,,
57,0.00E+00,,
58,-8.00E-02,,
59,0.00E+00,,
60,-8.00E-02,,
61,0.00E+00,,
62,-8.00E-02,,
63,0.00E+00,,
64,-8.00E-02,,
65,0.00E+00,,
66,-8.00E-02,,
67,0.00E+00,,
68,0.00E+00,,
69,-1.20E-01,,
70,0.00E+00,,
71,-8.00E-02,,
72,-8.00E-02,,
73,0.00E+00,,
74,0.00E+00,,
75,-8.00E-02,,
76,-8.00E-02,,
77,0.00E+00,,
78,-8.00E-02,,
79,0.00E+00,,
80,0.00E+00,,
81,-8.00E-02,,
82,-8.00E-02,,
83,0.00E+00,,
84,0.00E+00,,
85,-1.20E-01,,
86,-8.00E-02,,
87,0.00E+00,,
88,0.00E+00,,
89,-1.20E-01,,
90,-8.00E-02,,
