Sequence,Volt,-2.72E-05,1.00E-07
0,0.00E+00,,
1,-1.20E-01,,
2,-8.00E-02,,
3,0.00E+00,,
4,-8.00E-02,,
5,0.00E+00,,
6,-8.00E-02,,
7,0.00E+00,,
8,0.00E+00,,
9,-8.00E-02,,
10,0.00E+00,,
11,-1.20E-01,,
12,-8.00E-02,,
13,0.00E+00,,
14,0.00E+00,,
15,-1.20E-01,,
16,-8.00E-02,,
17,0.00E+00,,
18,-8.00E-02,,
19,0.00E+00,,
20,0.00E+00,,
21,-8.00E-02,,
22,0.00E+00,,
23,-1.20E-01,,
24,0.00E+00,,
25,-8.00E-02,,
26,-8.00E-02,,
27,0.00E+00,,
28,-8.00E-02,,
29,0.00E+00,,
30,-8.00E-02,,
31,0.00E+00,,
32,-8.00E-02,,
33,0.00E+00,,
34,-8.00E-02,,
35,0.00E+00,,
36,-8.00E-02,,
37,0.00E+00,,
38,-8.00E-02,,
39,0.00E+00,,
40,-8.00E-02,,
41,0.00E+00,,
42,-8.00E-02,,
43,0.00E+00,,
44,0.00E+00,,
45,-8.00E-02,,
46,-8.00E-02,,
47,0.00E+00,,
48,-8.00E-02,,
49,0.00E+00,,
50,-8.00E-02,,
51,0.00E+00,,
52,-8.00E-02,,
53,0.00E+00,,
54,-8.00E-02,,
55,0.00E+00,,
56,-8.00E-02,,
57,0.00E+00,,
58,-8.00E-02,,
59,0.00E+00,,
60,-8.00E-02,,
61,0.00E+00,,
62,-8.00E-02,,
63,0.00E+00,,
64,-8.00E-02,,
65,0.00E+00,,
66,-8.00E-02,,
67,0.00E+00,,
68,-8.00E-02,,
69,0.00E+00,,
70,-8.00E-02,,
71,0.00E+00,,
72,-8.00E-02,,
73,0.00E+00,,
74,0.00E+00,,
75,-8.00E-02,,
76,-8.00E-02,,
77,0.00E+00,,
78,-8.00E-02,,
79,0.00E+00,,
80,-8.00E-02,,
81,0.00E+00,,
82,-8.00E-02,,
83,0.00E+00,,
84,-8.00E-02,,
85,0.00E+00,,
86,-8.00E-02,,
87,0.00E+00,,
88,0.00E+00,,
89,-8.00E-02,,
90,0.00E+00,,
91,-1.20E-01,,
92,-8.00E-02,,
93,0.00E+00,,
94,0.00E+00,,
95,-1.20E-01,,
96,-8.00E-02,,
97,0.00E+00,,
98,-8.00E-02,,
99,0.00E+00,,
100,0.00E+00,,
101,-8.00E-02,,
102,-8.00E-02,,
103,0.00E+00,,
104,-8.00E-02,,
105,0.00E+00,,
106,0.00E+00,,
107,-1.20E-01,,
108,-8.00E-02,,
109,0.00E+00,,
110,0.00E+00,,
111,-1.20E-01,,
112,-8.00E-02,,
113,0.00E+00,,
114,-8.00E-02,,
115,0.00E+00,,
116,-8.00E-02,,
117,0.00E+00,,
118,0.00E+00,,
119,-1.20E-01,,
120,-8.00E-02,,
121,0.00E+00,,
122,-8.00E-02,,
123,0.00E+00,,
124,-8.00E-02,,
125,0.00E+00,,
126,-8.00E-02,,
127,0.00E+00,,
128,-8.00E-02,,
129,0.00E+00,,
130,-8.00E-02,,
131,0.00E+00,,
132,0.00E+00,,
133,-1.20E-01,,
134,0.00E+00,,
135,-1.20E-01,,
136,-8.00E-02,,
137,0.00E+00,,
138,0.00E+00,,
139,-1.20E-01,,
140,-8.00E-02,,
141,0.00E+00,,
142,-8.00E-02,,
143,0.00E+00,,
144,-8.00E-02,,
145,0.00E+00,,
146,0.00E+00,,
147,-1.20E-01,,
148,-8.00E-02,,
149,0.00E+00,,
150,0.00E+00,,
151,-1.20E-01,,
152,0.00E+00,,
153,-1.20E-01,,
154,0.00E+00,,
155,-1.20E-01,,
156,-8.00E-02,,
157,0.00E+00,,
158,0.00E+00,,
159,-1.20E-01,,
160,-8.00E-02,,
161,0.00E+00,,
162,-8.00E-02,,
163,0.00E+00,,
164,-8.00E-02,,
165,0.00E+00,,
166,-8.00E-02,,
167,0.00E+00,,
168,-8.00E-02,,
169,0.00E+00,,
170,-8.00E-02,,
171,0.00E+00,,
172,-8.00E-02,,
173,0.00E+00,,
174,-8.00E-02,,
175,0.00E+00,,
176,-8.00E-02,,
177,0.00E+00,,
178,-8.00E-02,,
179,0.00E+00,,
180,-8.00E-02,,
181,0.00E+00,,
182,-8.00E-02,,
183,0.00E+00,,
184,-8.00E-02,,
185,0.00E+00,,
186,0.00E+00,,
187,-1.20E-01,,
188,-8.00E-02,,
189,0.00E+00,,
190,0.00E+00,,
191,-1.20E-01,,
192,-8.00E-02,,
193,0.00E+00,,
194,-8.00E-02,,
195,0.00E+00,,
196,-8.00E-02,,
197,0.00E+00,,
198,0.00E+00,,
199,-1.20E-01,,
200,0.00E+00,,
201,-8.00E-02,,
202,0.00E+00,,
203,-1.20E-01,,
204,0.00E+00,,
205,-8.00E-02,,
206,0.00E+00,,
207,-1.20E-01,,
208,-8.00E-02,,
209,0.00E+00,,
210,-8.00E-02,,
211,0.00E+00,,
212,0.00E+00,,
213,-8.00E-02,,
214,0.00E+00,,
215,-1.20E-01,,
216,0.00E+00,,
217,-1.20E-01,,
218,0.00E+00,,
219,-1.20E-01,,
220,-8.00E-02,,
221,0.00E+00,,
222,0.00E+00,,
223,-1.20E-01,,
224,-8.00E-02,,
225,0.00E+00,,
226,-8.00E-02,,
227,0.00E+00,,
228,-8.00E-02,,
229,0.00E+00,,
230,0.00E+00,,
231,-1.20E-01,,
232,-8.00E-02,,
233,0.00E+00,,
234,-8.00E-02,,
235,0.00E+00,,
236,0.00E+00,,
237,-8.00E-02,,
238,0.00E+00,,
239,-8.00E-02,,
240,-8.00E-02,,
241,0.00E+00,,
242,0.00E+00,,
243,-1.20E-01,,
244,-8.00E-02,,
245,0.00E+00,,
246,-8.00E-02,,
247,0.00E+00,,
248,-8.00E-02,,
249,0.00E+00,,
250,0.00E+00,,
251,-1.20E-01,,
252,-8.00E-02,,
253,0.00E+00,,
254,0.00E+00,,
255,-1.20E-01,,
256,-8.00E-02,,
257,0.00E+00,,
258,0.00E+00,,
259,-1.20E-01,,
260,-8.00E-02,,
