Sequence,Volt,9.94E-03,2.00E-07
0,5.12E+00,,
1,5.24E+00,,
2,5.12E+00,,
3,5.24E+00,,
4,5.24E+00,,
5,5.12E+00,,
6,5.12E+00,,
7,5.24E+00,,
8,5.12E+00,,
9,5.24E+00,,
10,5.12E+00,,
11,5.24E+00,,
12,5.12E+00,,
13,5.24E+00,,
14,5.12E+00,,
15,5.24E+00,,
16,5.12E+00,,
17,5.24E+00,,
18,5.12E+00,,
19,5.24E+00,,
20,5.12E+00,,
21,5.24E+00,,
22,5.12E+00,,
23,5.24E+00,,
24,5.12E+00,,
25,5.24E+00,,
26,5.24E+00,,
27,5.12E+00,,
28,5.12E+00,,
29,5.24E+00,,
30,5.12E+00,,
31,5.24E+00,,
32,5.12E+00,,
33,5.24E+00,,
34,5.24E+00,,
35,5.12E+00,,
36,5.12E+00,,
37,5.24E+00,,
38,5.24E+00,,
39,5.12E+00,,
40,5.12E+00,,
41,5.24E+00,,
42,5.24E+00,,
43,5.12E+00,,
44,5.12E+00,,
45,5.24E+00,,
46,5.12E+00,,
47,5.24E+00,,
48,5.12E+00,,
49,5.24E+00,,
50,5.12E+00,,
51,5.24E+00,,
52,5.12E+00,,
53,5.24E+00,,
54,5.12E+00,,
55,5.24E+00,,
56,5.12E+00,,
57,5.24E+00,,
58,5.12E+00,,
59,5.24E+00,,
60,5.12E+00,,
61,5.24E+00,,
62,5.12E+00,,
63,5.24E+00,,
64,5.12E+00,,
65,5.24E+00,,
66,5.20E+00,,
67,5.12E+00,,
68,5.12E+00,,
69,5.24E+00,,
70,5.12E+00,,
71,5.24E+00,,
72,5.12E+00,,
73,5.24E+00,,
74,5.20E+00,,
75,5.12E+00,,
76,5.12E+00,,
77,5.24E+00,,
78,5.12E+00,,
79,5.24E+00,,
80,5.12E+00,,
81,5.24E+00,,
82,5.12E+00,,
83,5.24E+00,,
84,5.24E+00,,
85,5.12E+00,,
86,5.12E+00,,
87,5.24E+00,,
88,5.24E+00,,
89,5.12E+00,,
90,5.12E+00,,
91,5.24E+00,,
92,5.12E+00,,
93,5.24E+00,,
94,5.12E+00,,
95,5.24E+00,,
96,5.12E+00,,
97,5.24E+00,,
98,5.20E+00,,
99,5.12E+00,,
100,5.12E+00,,
101,5.24E+00,,
102,5.24E+00,,
103,5.12E+00,,
104,5.12E+00,,
105,5.24E+00,,
106,5.12E+00,,
107,5.24E+00,,
108,5.12E+00,,
109,5.24E+00,,
110,5.12E+00,,
111,5.24E+00,,
112,5.12E+00,,
113,5.24E+00,,
114,5.12E+00,,
115,5.24E+00,,
116,5.12E+00,,
117,5.24E+00,,
118,5.12E+00,,
119,5.24E+00,,
120,5.12E+00,,
121,5.24E+00,,
122,5.12E+00,,
123,5.24E+00,,
124,5.12E+00,,
125,5.24E+00,,
126,5.24E+00,,
127,5.12E+00,,
128,5.12E+00,,
129,5.24E+00,,
130,5.12E+00,,
131,5.24E+00,,
132,5.12E+00,,
133,5.24E+00,,
134,5.12E+00,,
135,5.24E+00,,
136,5.12E+00,,
137,5.24E+00,,
138,5.12E+00,,
139,5.24E+00,,
140,5.24E+00,,
141,5.12E+00,,
142,5.12E+00,,
143,5.24E+00,,
144,5.24E+00,,
145,5.12E+00,,
146,5.24E+00,,
147,5.12E+00,,
148,5.12E+00,,
149,5.24E+00,,
150,5.12E+00,,
151,5.24E+00,,
152,5.12E+00,,
153,5.24E+00,,
154,5.12E+00,,
155,5.24E+00,,
156,5.12E+00,,
157,5.24E+00,,
158,5.12E+00,,
159,5.24E+00,,
160,5.20E+00,,
161,5.12E+00,,
162,5.12E+00,,
163,5.24E+00,,
164,5.12E+00,,
165,5.24E+00,,
166,5.12E+00,,
167,5.24E+00,,
168,5.12E+00,,
169,5.24E+00,,
170,5.12E+00,,
171,5.24E+00,,
172,5.24E+00,,
173,5.12E+00,,
174,5.12E+00,,
175,5.24E+00,,
176,5.12E+00,,
177,5.24E+00,,
178,5.12E+00,,
179,5.24E+00,,
180,5.12E+00,,
181,5.24E+00,,
182,5.24E+00,,
183,5.12E+00,,
184,5.12E+00,,
185,5.24E+00,,
186,5.12E+00,,
187,5.24E+00,,
188,5.12E+00,,
189,5.24E+00,,
190,5.12E+00,,
191,5.20E+00,,
192,5.12E+00,,
193,5.24E+00,,
194,5.24E+00,,
195,5.12E+00,,
196,5.12E+00,,
197,5.24E+00,,
198,5.24E+00,,
199,5.12E+00,,
200,5.12E+00,,
201,5.24E+00,,
202,5.12E+00,,
203,5.24E+00,,
204,5.12E+00,,
205,5.24E+00,,
206,5.12E+00,,
207,5.24E+00,,
208,5.12E+00,,
209,5.24E+00,,
210,5.24E+00,,
211,5.12E+00,,
212,5.12E+00,,
213,5.24E+00,,
214,5.12E+00,,
215,5.24E+00,,
216,5.12E+00,,
217,5.24E+00,,
218,5.12E+00,,
219,5.24E+00,,
220,5.12E+00,,
221,5.24E+00,,
222,5.12E+00,,
223,5.24E+00,,
224,5.12E+00,,
225,5.24E+00,,
226,5.12E+00,,
227,5.24E+00,,
228,5.24E+00,,
229,5.12E+00,,
230,5.24E+00,,
231,5.12E+00,,
232,5.12E+00,,
233,5.24E+00,,
234,5.12E+00,,
235,5.24E+00,,
236,5.12E+00,,
237,5.24E+00,,
238,5.12E+00,,
239,5.24E+00,,
240,5.12E+00,,
241,5.24E+00,,
242,5.12E+00,,
243,5.24E+00,,
244,5.20E+00,,
245,5.12E+00,,
246,5.24E+00,,
247,5.12E+00,,
248,5.12E+00,,
249,5.24E+00,,
250,5.12E+00,,
251,5.24E+00,,
252,5.12E+00,,
253,5.24E+00,,
254,5.12E+00,,
255,5.24E+00,,
256,5.12E+00,,
257,5.24E+00,,
258,5.12E+00,,
259,5.24E+00,,
260,5.12E+00,,
261,5.24E+00,,
262,5.12E+00,,
263,5.24E+00,,
264,5.12E+00,,
265,5.24E+00,,
266,5.12E+00,,
267,5.20E+00,,
268,5.12E+00,,
269,5.24E+00,,
270,5.12E+00,,
271,5.24E+00,,
272,5.12E+00,,
273,5.24E+00,,
274,5.12E+00,,
275,5.24E+00,,
276,5.24E+00,,
277,5.12E+00,,
278,5.24E+00,,
279,5.12E+00,,
280,5.12E+00,,
281,5.24E+00,,
282,5.12E+00,,
283,5.24E+00,,
284,5.20E+00,,
285,5.12E+00,,
286,5.24E+00,,
287,5.12E+00,,
288,5.12E+00,,
289,5.24E+00,,
290,5.12E+00,,
291,5.24E+00,,
292,5.24E+00,,
293,5.12E+00,,
294,5.12E+00,,
295,5.24E+00,,
296,5.12E+00,,
297,5.24E+00,,
298,5.12E+00,,
299,5.24E+00,,
300,5.12E+00,,
301,5.24E+00,,
302,5.24E+00,,
303,5.12E+00,,
304,5.12E+00,,
305,5.24E+00,,
306,5.12E+00,,
307,5.24E+00,,
308,5.12E+00,,
309,5.24E+00,,
310,5.12E+00,,
311,5.24E+00,,
312,5.20E+00,,
313,5.12E+00,,
314,5.24E+00,,
315,5.12E+00,,
316,5.12E+00,,
317,5.24E+00,,
318,5.20E+00,,
319,5.12E+00,,
320,5.12E+00,,
321,5.24E+00,,
322,5.12E+00,,
323,5.24E+00,,
324,5.12E+00,,
325,5.20E+00,,
326,5.12E+00,,
327,5.24E+00,,
328,5.20E+00,,
329,5.12E+00,,
330,5.24E+00,,
331,5.12E+00,,
332,5.20E+00,,
333,5.12E+00,,
334,5.20E+00,,
335,5.12E+00,,
336,5.12E+00,,
