X,CH1,Start,Increment
Sequence,Volt,-3.00E-02,5.00E-05
278,5.00E+00,,
279,4.92E+00,,
280,4.92E+00,,
281,5.00E+00,,
282,5.00E+00,,
283,4.92E+00,,
284,5.00E+00,,
285,4.92E+00,,
286,5.00E+00,,
287,4.92E+00,,
288,4.92E+00,,
289,5.00E+00,,
290,5.00E+00,,
291,4.92E+00,,
292,5.00E+00,,
293,4.92E+00,,
294,5.00E+00,,
295,4.92E+00,,
296,5.00E+00,,
297,4.92E+00,,
298,5.00E+00,,
299,4.92E+00,,
300,5.00E+00,,
301,4.92E+00,,
302,4.92E+00,,
303,5.00E+00,,
304,4.92E+00,,
305,5.00E+00,,
306,4.92E+00,,
307,5.00E+00,,
308,5.00E+00,,
309,4.92E+00,,
310,5.00E+00,,
311,4.92E+00,,
312,4.92E+00,,
313,5.00E+00,,
314,4.92E+00,,
315,5.00E+00,,
316,5.00E+00,,
317,4.92E+00,,
318,4.92E+00,,
319,5.00E+00,,
320,4.92E+00,,
321,5.00E+00,,
322,4.92E+00,,
323,5.00E+00,,
324,5.00E+00,,
325,4.92E+00,,
326,5.00E+00,,
327,4.92E+00,,
328,4.92E+00,,
329,5.00E+00,,
330,4.92E+00,,
331,5.00E+00,,
332,5.00E+00,,
333,4.92E+00,,
334,5.00E+00,,
335,4.88E+00,,
336,4.92E+00,,
337,5.00E+00,,
338,4.92E+00,,
339,5.00E+00,,
340,4.92E+00,,
341,5.00E+00,,
342,4.92E+00,,
343,5.00E+00,,
344,4.92E+00,,
345,5.00E+00,,
346,4.92E+00,,
347,5.00E+00,,
348,5.00E+00,,
349,4.88E+00,,
350,5.00E+00,,
351,4.92E+00,,
352,5.00E+00,,
353,4.88E+00,,
354,5.00E+00,,
355,4.88E+00,,
356,4.88E+00,,
357,5.00E+00,,
358,5.00E+00,,
359,4.92E+00,,
360,5.00E+00,,
361,4.92E+00,,
362,5.00E+00,,
363,4.92E+00,,
364,4.92E+00,,
365,5.00E+00,,
366,5.00E+00,,
367,4.84E+00,,
368,5.00E+00,,
369,4.92E+00,,
370,5.00E+00,,
371,4.92E+00,,
372,5.00E+00,,
373,4.92E+00,,
374,4.92E+00,,
375,5.00E+00,,
376,4.92E+00,,
377,5.00E+00,,
378,4.92E+00,,
379,5.00E+00,,
380,4.92E+00,,
381,5.00E+00,,
382,5.00E+00,,
383,4.88E+00,,
384,5.00E+00,,
385,4.88E+00,,
386,5.00E+00,,
387,4.88E+00,,
388,4.92E+00,,
389,5.00E+00,,
390,5.00E+00,,
391,4.92E+00,,
392,4.92E+00,,
393,5.00E+00,,
394,4.92E+00,,
395,5.00E+00,,
396,5.00E+00,,
397,4.04E+00,,
398,4.00E+00,,
399,1.60E+00,,
400,1.64E+00,,
401,6.40E-01,,
402,6.80E-01,,
403,2.80E-01,,
404,3.20E-01,,
405,1.20E-01,,
406,1.60E-01,,
407,4.00E-02,,
408,1.20E-01,,
409,0.00E+00,,
410,1.20E-01,,
411,-4.00E-02,,
412,-4.00E-02,,
413,4.00E-02,,
414,0.00E+00,,
415,-4.00E-02,,
416,-4.00E-02,,
417,4.00E-02,,
418,4.00E-02,,
419,-8.00E-02,,
420,4.00E-02,,
421,-8.00E-02,,
422,4.00E-02,,
423,-4.00E-02,,
424,4.00E-02,,
425,-8.00E-02,,
426,4.00E-02,,
427,-8.00E-02,,
428,4.00E-02,,
429,-8.00E-02,,
430,4.00E-02,,
431,-8.00E-02,,
432,4.00E-02,,
433,-8.00E-02,,
434,4.00E-02,,
435,-8.00E-02,,
436,4.00E-02,,
437,-8.00E-02,,
438,-8.00E-02,,
439,4.00E-02,,
440,4.00E-02,,
441,-8.00E-02,,
442,4.00E-02,,
443,-8.00E-02,,
444,-8.00E-02,,
445,4.00E-02,,
446,4.00E-02,,
447,-8.00E-02,,
448,4.00E-02,,
449,-8.00E-02,,
450,4.00E-02,,
451,-8.00E-02,,
452,4.00E-02,,
453,-8.00E-02,,
454,-8.00E-02,,
455,4.00E-02,,
456,4.00E-02,,
457,-8.00E-02,,
458,4.00E-02,,
459,-8.00E-02,,
460,-8.00E-02,,
461,4.00E-02,,
462,-8.00E-02,,
463,4.00E-02,,
464,4.00E-02,,
465,-8.00E-02,,
466,-8.00E-02,,
467,4.00E-02,,
468,4.00E-02,,
469,-8.00E-02,,
470,4.00E-02,,
471,-8.00E-02,,
472,4.00E-02,,
473,-8.00E-02,,
474,4.00E-02,,
475,-8.00E-02,,
476,4.00E-02,,
477,-8.00E-02,,
478,4.00E-02,,
479,-8.00E-02,,
480,4.00E-02,,
481,-8.00E-02,,
482,4.00E-02,,
483,-8.00E-02,,
484,4.00E-02,,
485,-8.00E-02,,
486,4.00E-02,,
487,-8.00E-02,,
488,4.00E-02,,
489,-8.00E-02,,
490,4.00E-02,,
491,-8.00E-02,,
492,4.00E-02,,
493,-8.00E-02,,
494,4.00E-02,,
495,-8.00E-02,,
496,4.00E-02,,
497,-8.00E-02,,
498,4.00E-02,,
499,-8.00E-02,,
500,-8.00E-02,,
501,4.00E-02,,
502,4.00E-02,,
503,-4.00E-02,,
504,4.00E-02,,
505,-8.00E-02,,
506,4.00E-02,,
507,-8.00E-02,,
508,4.00E-02,,
509,-8.00E-02,,
510,4.00E-02,,
511,-8.00E-02,,
512,4.00E-02,,
513,-8.00E-02,,
514,-8.00E-02,,
515,4.00E-02,,
516,-4.00E-02,,
517,4.00E-02,,
518,4.00E-02,,
519,-8.00E-02,,
520,4.00E-02,,
521,-8.00E-02,,
522,4.00E-02,,
523,-4.00E-02,,
524,4.00E-02,,
525,-8.00E-02,,
526,4.00E-02,,
527,-4.00E-02,,
528,4.00E-02,,
529,-8.00E-02,,
530,4.00E-02,,
531,-8.00E-02,,
532,4.00E-02,,
533,-8.00E-02,,
534,-4.00E-02,,
535,4.00E-02,,
536,-4.00E-02,,
537,4.00E-02,,
538,-4.00E-02,,
539,4.00E-02,,
540,-8.00E-02,,
541,4.00E-02,,
542,-4.00E-02,,
543,4.00E-02,,
544,-4.00E-02,,
545,4.00E-02,,
546,-4.00E-02,,
547,4.00E-02,,
548,-8.00E-02,,
549,4.00E-02,,
550,-4.00E-02,,
551,4.00E-02,,
552,-4.00E-02,,
553,4.00E-02,,
554,-4.00E-02,,
555,4.00E-02,,
556,4.00E-02,,
557,-4.00E-02,,
558,-4.00E-02,,
559,4.00E-02,,
560,-4.00E-02,,
561,4.00E-02,,
562,-4.00E-02,,
563,0.00E+00,,
564,-4.00E-02,,
565,4.00E-02,,
566,-4.00E-02,,
567,4.00E-02,,
568,-4.00E-02,,
569,4.00E-02,,
570,-4.00E-02,,
571,4.00E-02,,
572,4.00E-02,,
573,-4.00E-02,,
574,-4.00E-02,,
575,4.00E-02,,
576,-4.00E-02,,
577,4.00E-02,,
578,-4.00E-02,,
579,4.00E-02,,
580,-4.00E-02,,
581,4.00E-02,,
582,-4.00E-02,,
583,4.00E-02,,
584,4.00E-02,,
585,-8.00E-02,,
586,-4.00E-02,,
587,4.00E-02,,
588,-4.00E-02,,
589,4.00E-02,,
590,-4.00E-02,,
591,4.00E-02,,
592,-4.00E-02,,
593,4.00E-02,,
594,-4.00E-02,,
595,4.00E-02,,
596,-4.00E-02,,
597,4.00E-02,,
598,-4.00E-02,,
599,2.40E+00,,
600,2.40E+00,,
601,3.84E+00,,
602,3.80E+00,,
603,4.40E+00,,
604,4.40E+00,,
605,4.68E+00,,
606,4.60E+00,,
607,4.84E+00,,
608,4.76E+00,,
609,4.88E+00,,
610,4.80E+00,,
611,4.96E+00,,
612,4.96E+00,,
613,4.84E+00,,
614,4.88E+00,,
615,5.00E+00,,
616,5.00E+00,,
617,4.88E+00,,
618,5.00E+00,,
619,4.92E+00,,
620,5.00E+00,,
621,4.92E+00,,
622,4.92E+00,,
623,5.00E+00,,
624,4.92E+00,,
625,5.00E+00,,
626,4.92E+00,,
627,5.00E+00,,
628,4.92E+00,,
629,5.00E+00,,
630,5.00E+00,,
631,4.92E+00,,
632,5.00E+00,,
633,4.92E+00,,
634,4.92E+00,,
635,5.04E+00,,
636,4.92E+00,,
637,5.00E+00,,
638,4.92E+00,,
639,5.04E+00,,
640,5.00E+00,,
641,4.92E+00,,
642,4.92E+00,,
643,5.04E+00,,
644,4.92E+00,,
645,5.04E+00,,
646,5.04E+00,,
647,4.92E+00,,
648,5.00E+00,,
649,4.92E+00,,
650,4.92E+00,,
651,5.00E+00,,
652,5.00E+00,,
653,4.92E+00,,
654,4.92E+00,,
655,5.04E+00,,
656,5.00E+00,,
657,4.92E+00,,
658,5.00E+00,,
659,4.92E+00,,
660,5.00E+00,,
661,4.92E+00,,
662,4.92E+00,,
663,5.04E+00,,
664,4.92E+00,,
665,5.04E+00,,
666,4.92E+00,,
667,5.04E+00,,
668,5.00E+00,,
669,4.92E+00,,
670,5.00E+00,,
671,4.92E+00,,
672,5.00E+00,,
673,4.92E+00,,
674,5.00E+00,,
675,4.92E+00,,
676,5.00E+00,,
677,4.92E+00,,
678,5.00E+00,,
679,4.92E+00,,
680,5.00E+00,,
681,4.92E+00,,
682,5.00E+00,,
683,4.92E+00,,
684,4.92E+00,,
685,5.00E+00,,
686,4.92E+00,,
687,5.00E+00,,
688,5.00E+00,,
689,4.92E+00,,
690,5.00E+00,,
691,4.92E+00,,
692,5.00E+00,,
693,4.92E+00,,
694,5.00E+00,,
695,4.92E+00,,
696,5.00E+00,,
697,4.92E+00,,
698,5.00E+00,,
699,4.92E+00,,
700,4.92E+00,,
701,5.00E+00,,
702,4.92E+00,,
703,5.00E+00,,
704,5.00E+00,,
705,4.92E+00,,
706,5.00E+00,,
707,4.92E+00,,
708,4.92E+00,,
709,5.00E+00,,
710,5.00E+00,,
711,4.92E+00,,
712,4.92E+00,,
713,5.00E+00,,
714,4.92E+00,,
715,5.00E+00,,
716,4.92E+00,,
717,5.00E+00,,
718,4.92E+00,,
719,5.00E+00,,
720,5.00E+00,,
721,4.92E+00,,
722,4.92E+00,,
723,5.00E+00,,
724,4.92E+00,,
725,5.00E+00,,
726,4.92E+00,,
727,5.00E+00,,
728,5.00E+00,,
729,4.88E+00,,
730,5.00E+00,,
731,4.88E+00,,
732,5.00E+00,,
733,4.88E+00,,
734,4.92E+00,,
735,5.00E+00,,
736,4.92E+00,,
737,5.00E+00,,
738,5.00E+00,,
739,4.92E+00,,
740,5.00E+00,,
741,4.92E+00,,
742,5.00E+00,,
743,4.92E+00,,
744,4.92E+00,,
745,5.00E+00,,
746,5.00E+00,,
747,4.84E+00,,
748,5.00E+00,,
749,4.92E+00,,
750,4.92E+00,,
751,5.00E+00,,
752,4.92E+00,,
753,5.00E+00,,
754,5.00E+00,,
755,4.88E+00,,
756,5.00E+00,,
757,4.92E+00,,
758,5.00E+00,,
759,4.92E+00,,
760,5.00E+00,,
761,4.92E+00,,
762,5.00E+00,,
763,4.88E+00,,
764,5.00E+00,,
765,4.92E+00,,
766,5.00E+00,,
767,4.92E+00,,
768,4.92E+00,,
769,5.00E+00,,
770,5.00E+00,,
771,4.88E+00,,
772,5.00E+00,,
773,4.92E+00,,
774,4.92E+00,,
775,5.00E+00,,
776,5.00E+00,,
777,4.92E+00,,
778,4.92E+00,,
779,5.00E+00,,
780,4.92E+00,,
781,5.00E+00,,
782,5.00E+00,,
783,4.92E+00,,
784,4.92E+00,,
785,5.00E+00,,
786,5.00E+00,,
787,4.92E+00,,
788,4.92E+00,,
789,5.00E+00,,
790,4.92E+00,,
791,5.00E+00,,
792,4.92E+00,,
793,5.00E+00,,
794,5.00E+00,,
795,4.92E+00,,
796,5.00E+00,,
797,4.88E+00,,
798,5.04E+00,,
799,3.60E+00,,
800,3.56E+00,,
801,1.40E+00,,
802,1.48E+00,,
803,5.60E-01,,
804,6.00E-01,,
805,2.40E-01,,
806,3.20E-01,,
807,8.00E-02,,
808,1.60E-01,,
809,8.00E-02,,
810,1.20E-01,,
811,-4.00E-02,,
812,1.20E-01,,
813,-4.00E-02,,
814,4.00E-02,,
815,-4.00E-02,,
816,-4.00E-02,,
817,4.00E-02,,
818,4.00E-02,,
819,-8.00E-02,,
820,4.00E-02,,
821,-4.00E-02,,
822,4.00E-02,,
823,-8.00E-02,,
824,4.00E-02,,
825,-8.00E-02,,
826,4.00E-02,,
827,-8.00E-02,,
828,4.00E-02,,
829,-8.00E-02,,
830,4.00E-02,,
831,-8.00E-02,,
832,4.00E-02,,
833,-8.00E-02,,
834,-8.00E-02,,
835,4.00E-02,,
836,4.00E-02,,
837,-8.00E-02,,
838,4.00E-02,,
839,-8.00E-02,,
