t_s,raw_g,filt_g
3.643199920654297,0.0,0.0
3.940279722213745,1.31,0.262
4.237545967102051,61.28,12.4656
4.535015821456909,148.93,39.758480000000006
4.831945896148682,219.06,75.618784
5.128903865814209,275.18,115.53102720000001
5.425820827484131,320.06,156.43682176000002
5.722770929336548,355.97,196.343457408
6.0197248458862305,384.71,234.0167659264
6.316617965698242,407.69,268.75141274112
6.613606929779053,426.08,300.21713019289604
6.910559892654419,440.79,328.33170415431687
7.207535743713379,452.56,353.1773633234535
7.504439830780029,461.98,374.93789065876285
7.8013927936553955,469.52,393.8543125270103
8.098327875137329,475.54,410.19145002160826
8.395296096801758,480.37,424.2271600172866
8.692224025726318,484.23,436.22772801382933
8.989227056503296,487.31,446.4441824110635
9.28612995147705,489.78,455.1113459288508
9.583067893981934,491.75,462.4390767430807
9.880027770996094,493.31,468.61326139446464
10.176949977874756,494.58,473.80660911557175
10.473898887634277,495.59,478.1632872924574
10.770829916000366,496.41,481.81262983396596
11.06778597831726,497.06,484.8621038671728
11.364759683609009,497.58,487.4056830937383
11.661711931228638,498.0,489.52454647499064
11.958702802658081,498.32,491.2836371799925
12.255631923675537,498.6,492.7469097439941
12.552600860595703,498.8,493.9575277951953
12.849528789520264,498.97,494.9600222361563
13.14647889137268,499.11,495.79001778892507
13.443368911743164,499.22,496.4760142311401
13.740354776382446,499.3,497.0408113849121
14.037312030792236,499.37,497.5066491079297
14.334242820739746,499.42,497.88931928634383
14.631212711334229,499.46,498.20345542907506
14.928143739700317,499.5,498.4627643432601
15.225030899047852,500.0,498.7702114746081
15.522051811218262,500.0,499.01616917968653
15.818917751312256,500.0,499.2129353437492
16.115866899490356,500.0,499.3703482749994
16.412797927856445,500.0,499.49627861999954
16.70978879928589,500.0,499.59702289599966
17.006691932678223,500.0,499.67761831679974
17.30366587638855,500.0,499.74209465343984
17.600534677505493,500.0,499.7936757227519
17.89751100540161,500.0,499.83494057820155
18.194479942321777,500.0,499.8679524625613
18.491447687149048,500.0,499.89436197004903
18.788513660430908,500.0,499.91548957603925
19.08549189567566,500.0,499.9323916608314
19.38251805305481,500.0,499.94591332866514
19.679540872573853,500.0,499.95673066293216
19.97653293609619,500.0,499.9653845303458
20.273520946502686,500.0,499.97230762427665
20.570549964904785,500.0,499.97784609942136
20.867581844329834,500.0,499.9822768795371
21.164559841156006,500.0,499.9858215036297
21.46155071258545,500.0,499.9886572029038
21.758615732192993,500.0,499.99092576232306
22.055596113204956,500.0,499.99274060985846
22.352590799331665,500.0,499.9941924878868
22.64961266517639,500.0,499.99535399030947
22.946616888046265,500.0,499.9962831922476
23.243634939193726,500.0,499.9970265537981
23.540630102157593,500.0,499.9976212430385
23.83769178390503,500.0,499.99809699443085
24.13468599319458,500.0,499.9984775955447
24.431689023971558,497.12,499.42278207643585
24.72870683670044,413.55,482.2482256611487
25.02571177482605,330.83,451.964580528919
25.322757959365845,264.66,414.5036644231352
25.619739770889282,211.72,373.9469315385082
25.916764974594116,169.37,333.03154523080656
26.213751792907715,135.48,293.52123618464526
26.510839700698853,108.38,256.49298894771624
26.80735993385315,86.7,222.534391158173
27.104394912719727,69.36,191.89951292653842
27.401370763778687,55.48,164.61561034123073
27.69843101501465,44.37,140.5664882729846
27.995413064956665,35.49,119.55119061838768
28.292416095733643,28.4,101.32095249471016
28.589382886886597,22.72,85.60076199576812
28.88644576072693,18.18,72.1166095966145
29.183384895324707,14.53,60.5992876772916
29.480411767959595,11.61,50.801430141833286
29.776909828186035,9.29,42.49914411346663
30.073930978775024,7.42,35.483315290773305
30.3709499835968,5.94,29.574652232618643
30.667990684509277,4.74,24.607721786094917
30.964937925338745,3.78,20.442177428875937
31.2619788646698,3.03,16.959741943100752
31.558990716934204,2.42,14.051793554480602
31.856022834777832,1.93,11.627434843584481
32.1530487537384,1.54,9.609947874867585
32.4500207901001,1.24,7.935958299894068
32.74703001976013,0.98,6.544766639915254
33.04408383369446,0.78,5.391813311932204
33.34105706214905,0.62,4.437450649545763
33.63812589645386,0.49,3.6479605196366105
33.935137033462524,0.38,2.9943684157092885
34.2321081161499,0.29,2.453494732567431
34.52912378311157,0.23,2.0087957860539447
34.82610201835632,0.0,1.607036628843156
35.123143911361694,0.0,1.2856293030745247
35.420116901397705,0.0,1.0285034424596198
35.71716094017029,0.0,0.8228027539676959
36.01418972015381,0.0,0.6582422031741567
36.311184883117676,0.0,0.5265937625393254
36.60814189910889,0.0,0.4212750100314604
36.90520405769348,0.0,0.33702000802516835
37.20219802856445,0.0,0.26961600642013467
